top - 11:54:46 up  1:09,  1 user,  load average: 1.67, 1.11, 0.92
   6908 prathik+  20   0  338812  17504  17032 S   0.0   0.0   0:00.09 gsd-keyboard
   6910 prathik+  20   0  864772  23112  21420 S   0.0   0.0   0:00.13 gsd-media-keys
   6913 prathik+  20   0  451132  20780  19896 S   0.0   0.0   0:00.13 gsd-power
   6917 prathik+  20   0  249544  10320   9808 S   0.0   0.0   0:00.00 gsd-print-notif
   6919 prathik+  20   0  455256   6272   6016 S   0.0   0.0   0:00.92 gsd-rfkill
   6921 prathik+  20   0  233688   6016   5888 S   0.0   0.0   0:00.00 gsd-screensaver
   6925 prathik+  20   0  463868  11520   8960 S   0.0   0.0   0:04.81 gsd-sharing
   6928 prathik+  20   0  383432   7552   7424 S   0.0   0.0   0:00.00 gsd-smartcard
   6931 prathik+  20   0  232276   7168   6016 S   0.0   0.0   0:00.03 gsd-disk-utilit
   6932 prathik+  20   0  316740   8832   8576 S   0.0   0.0   0:00.01 gsd-sound
   6935 prathik+  20   0  339120  17480  16824 S   0.0   0.0   0:00.10 gsd-wacom
   6939 prathik+  20   0  346140  23040  22068 S   0.0   0.0   0:00.13 gsd-xsettings
   6945 prathik+  20   0  819532  58456  51148 S   0.0   0.1   0:00.26 evolution-alarm
   6980 prathik+  20   0  160892   6656   6656 S   0.0   0.0   0:00.00 ibus-memconf
   6981 prathik+  20   0  269880  21944  17828 S   0.0   0.0   0:03.13 ibus-extension-
   7015 prathik+  20   0  191520  17880  17296 S   0.0   0.0   0:00.08 ibus-x11
   7025 prathik+  20   0  234672   6912   6784 S   0.0   0.0   0:00.01 ibus-portal
   7055 prathik+  20   0  339756  13184  12672 S   0.0   0.0   0:00.01 gsd-printer
   7060 prathik+  20   0  343548  22660  21284 S   0.0   0.0   0:00.19 xdg-desktop-por
   7072 prathik+  20   0 2936880  25116  22528 S   0.0   0.0   0:00.07 gjs
   7073 prathik+  20   0  160884   7168   6784 S   0.0   0.0   0:03.45 ibus-engine-sim
   7141 prathik+  20   0 3121792  54780  44032 S   0.0   0.1   0:02.65 gjs
   7160 prathik+  20   0  160452   6272   6016 S   0.0   0.0   0:00.01 gvfsd-metadata
   7244 prathik+  20   0  903496  60088  42656 S   0.0   0.1   0:27.46 gnome-terminal-
   7266 prathik+  20   0   10084   4324   3684 S   0.0   0.0   0:00.12 bash
   7287 prathik+  20   0   10084   4096   3712 S   0.0   0.0   0:00.00 bash
   8945 prathik+  20   0  416220  22016  19200 S   0.0   0.0   0:00.19 update-notifier
  14037 prathik+  20   0   32.7g 228228 166676 S   0.0   0.3   0:44.35 chrome
  14042 prathik+  20   0    5912   1792   1792 S   0.0   0.0   0:00.00 cat
  14043 prathik+  20   0    5912   1792   1792 S   0.0   0.0   0:00.00 cat
  14045 prathik+  20   0   32.0g   2304   2304 S   0.0   0.0   0:00.00 chrome_crashpad
  14047 prathik+  20   0   32.0g   2176   2176 S   0.0   0.0   0:00.00 chrome_crashpad
  14053 prathik+  20   0   32.3g  38656  38144 S   0.0   0.1   0:00.03 chrome
  14054 prathik+  20   0   32.3g  40832  38400 S   0.0   0.1   0:00.02 chrome
  14055 prathik+  20   0   32.0g   2560   2560 S   0.0   0.0   0:00.00 nacl_helper
  14058 prathik+  20   0   32.3g   6724   4096 S   0.0   0.0   0:00.03 chrome
  14085 prathik+  20   0   32.7g 155012 112076 S   0.0   0.2   0:40.97 chrome
  14087 prathik+  20   0   32.4g  75472  69248 S   0.0   0.1   0:13.53 chrome
  14098 prathik+  20   0   32.4g  31424  28288 S   0.0   0.0   0:00.19 chrome
  14187 prathik+  20   0   32.6g   9592   8172 S   0.0   0.0   0:00.00 chrome
  14210 prathik+  20   0 1132.0g 178308  83664 S   0.0   0.3   3:25.08 chrome
  16730 root      20   0       0      0      0 I   0.0   0.0   0:00.66 kworker/1:2-events
  18089 root      20   0       0      0      0 I   0.0   0.0   0:00.94 kworker/0:2-rcu_gp
  18240 root      20   0       0      0      0 I   0.0   0.0   0:00.91 kworker/u28:0-flush-252:1
  93526 prathik+  20   0  386120   8576   7936 S   0.0   0.0   0:00.02 gvfsd-network
  93559 prathik+  20   0  314220   8704   7936 S   0.0   0.0   0:00.06 gvfsd-dnssd
  96354 root      20   0       0      0      0 I   0.0   0.0   0:00.45 kworker/7:0-ipv6_addrconf
  96402 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker/12:2-events
  96596 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker/5:2-events
  97455 root      20   0       0      0      0 I   0.0   0.0   0:00.25 kworker/8:2-events
